ResId,ChapterId,BookId,Link,Valid,JWLINK
352409,203889,32665,637784569,yes,
216422,126773,26903,523685116,yes,
383607,213840,34135,651092526,yes,
206207,123065,26903,512386275,yes,
216635,126748,26686,524089708,yes,
197620,118584,24845,502905203,yes,
260613,159441,28838,558934520,yes,
271584,166485,30152,568848389,yes,
176985,106618,25527,492462868,yes,
281912,170920,31722,578391629,yes,
201930,121837,26686,506664147,yes,
182473,107460,24850,494379585,yes,
158043,97590,24345,473810878,yes,
166847,102502,24821,483026060,yes,
211151,124073,26740,517053836,yes,
196735,119505,26342,502175821,yes,
192345,116011,24846,499903381,yes,
264177,162171,27181,564042591,yes,
307123,169438,31670,593134758,yes,
203473,121959,26298,508778358,yes,
283491,172246,31814,579682387,yes,
202540,120368,26298,507484100,yes,
218819,127998,27968,527230657,yes,
208295,123452,26337,513712980,yes,
309438,185469,31815,591964441,yes,
110968,61773,22199,443603575,yes,
256292,156446,28838,555061676,yes,
349737,202952,33466,636264421,yes,
249334,144638,27184,549159185,yes,
254578,156670,26902,552759389,yes,
184059,110837,25530,494592875,yes,
266605,162268,30156,565651089,yes,
185220,109855,25702,495195742,yes,https://content.jwplatform.com/videos/IBHPzVGy-9YBrBxKD.m4a
261731,159791,30152,560354485,yes,
359242,207291,32665,639962842,yes,
186554,111813,25527,495750645,yes,
201130,120414,24845,506021559,yes,
274128,166828,28834,570595676,yes,
258559,157421,27184,557479281,yes,
211886,125020,26903,518042754,yes,
389474,217046,32663,653975562,yes,
351349,205811,33683,595703723,yes,
171869,103796,25531,487518473,yes,
261433,160763,28834,559879185,yes,
225899,130413,28834,535709997,yes,
276840,169531,30151,574401113,yes,
377095,214653,32665,648971940,yes,
271651,165681,30154,568742036,yes,
218329,127728,27942,529337020,yes,
246863,149862,26903,547857567,yes,
205357,122758,26340,511131612,yes,
265904,163081,29599,564551897,yes,
186584,113195,25702,495724846,yes,
378569,214655,32883,649460462,yes,
281385,171195,29599,577960736,yes,
176348,104467,25528,491930241,yes,
193725,116010,25531,501127211,yes,
376104,212391,32884,648586417,yes,
211856,125013,26686,518044070,yes,
280631,170482,28838,577514809,yes,
216693,126773,26903,524165637,yes,
275998,166485,30152,572972961,yes,
221854,129773,26686,532517464,yes,
192356,115976,25526,499998896,yes,
205922,122591,26740,511897568,yes,
262802,161539,26902,561222785,yes,
270260,165688,27185,566875268,yes,
193355,115938,26338,500341044,yes,
256216,156974,28837,555023096,yes,
276748,169524,28837,574269946,yes,
272669,166828,28834,569294411,yes,
215293,125981,26900,525507180,yes,
237915,141204,27182,542549590,yes,
207752,123254,26819,512925687,yes,
